BT1:1
C1:1
C10:1
C15:1
C16:1
C17:1
C19:1
C2:1
C20:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
IC1:1
J2:1
J3:1
J4:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R2:1
R5:1
R6:1
R7:1
R8:1
SW1:1
SW2:1
SW3:1
SW_clear1:1
SW_divide1:1
SW_eight1:1
SW_equals1:1
SW_five1:1
SW_four1:1
SW_minus1:1
SW_mutiplicate1:1
SW_nine1:1
SW_one1:1
SW_plus1:1
SW_point1:1
SW_seven1:1
SW_six1:1
SW_three1:1
SW_two1:1
SW_zero1:1
U1:1
U2:1
U3:1
U4:1
U5:1
