Designator,Mid X,Mid Y,Rotation,Layer
BT1,-26.0,26.789,0.0,top
C1,6.3996,-14.5851,225.0,bottom
C15,-7.5903,21.4312,270.0,bottom
C16,-9.6739,20.0,270.0,bottom
C17,-11.7574,18.4547,270.0,bottom
C19,-20.3895,12.3527,0.0,bottom
C2,7.1855,-13.8828,225.0,bottom
C20,-20.3895,7.5902,0.0,bottom
C3,2.3812,-23.366,315.0,bottom
C4,-5.6555,-21.5801,45.0,bottom
C5,-4.9114,-20.9847,45.0,bottom
C6,-2.8695,-11.055,135.0,bottom
C7,-2.2325,-11.7574,135.0,bottom
C8,-16.6688,-33.784,90.0,bottom
C9,-1.6789,-24.0684,45.0,bottom
D1,-30.3609,7.1437,0.0,bottom
D10,-2.5301,-39.4394,0.0,bottom
D11,-2.5301,-58.4894,0.0,bottom
D12,16.5199,-1.3395,0.0,bottom
D13,16.5199,-20.3894,0.0,bottom
D14,16.5199,-39.4394,0.0,bottom
D15,16.5199,-58.4894,0.0,bottom
D16,16.5199,-77.5394,0.0,bottom
D17,35.5699,-1.3395,0.0,bottom
D18,27.3843,-28.8726,0.0,bottom
D19,28.2773,-67.2703,0.0,bottom
D2,-23.8125,10.1203,180.0,bottom
D3,-21.6684,-1.3395,0.0,bottom
D4,-21.5801,-20.3894,0.0,bottom
D5,-21.5801,-39.4394,0.0,bottom
D6,-21.5801,-58.4894,0.0,bottom
D7,-6.9949,-84.9808,0.0,bottom
D8,-2.5301,-1.3395,0.0,bottom
D9,-2.5301,-36.7605,0.0,bottom
IC1,0.0,10.5668,0.0,bottom
J1,-19.05,-35.059,180.0,bottom
J2,-34.0816,7.1488,180.0,top
J3,0.0,31.8492,180.0,bottom
J4,25.8861,-18.3058,270.0,bottom
J5,-19.05,-28.8925,180.0,bottom
Q1,-26.0004,7.1437,0.0,bottom
R1,-16.6688,-26.0114,90.0,bottom
R10,2.6789,23.0683,270.0,bottom
R11,8.8143,23.9613,180.0,bottom
R12,8.8226,24.896,0.0,bottom
R13,-2.8278,23.0683,270.0,bottom
R5,-6.102,21.2824,90.0,bottom
R6,-11.1621,21.1336,90.0,bottom
R7,-13.2457,18.4547,90.0,bottom
R8,-23.0684,7.1437,180.0,bottom
SW1,32.8995,9.8226,90.0,top
SW_clear1,-26.035,-4.445,0.0,top
SW_divide1,-6.985,-4.445,0.0,top
SW_eight1,-6.985,-23.495,0.0,top
SW_equals1,26.035,-81.28,180.0,top
SW_five1,-6.985,-42.545,0.0,top
SW_four1,-26.035,-42.545,0.0,top
SW_minus1,31.115,-4.445,0.0,top
SW_mutiplicate1,12.065,-4.445,0.0,top
SW_nine1,12.065,-23.495,0.0,top
SW_one1,-26.035,-61.595,0.0,top
SW_plus1,26.035,-43.18,180.0,top
SW_point1,12.065,-80.645,0.0,top
SW_seven1,-26.035,-23.495,0.0,top
SW_six1,12.065,-42.545,0.0,top
SW_three1,12.065,-61.595,0.0,top
SW_two1,-6.985,-61.595,0.0,top
SW_zero1,-21.59,-90.805,180.0,top
U1,0.0,-17.5617,135.0,bottom
U2,-0.0918,23.0683,90.0,bottom
U3,-30.0632,9.8425,0.0,top
U4,0.1488,9.8425,0.0,top
U5,-14.2875,9.8226,180.0,bottom
